,Framework Name,Description,Published,Meta_Url,Languages,Provider,Asset URL,Repository,Terms Of Service
19,CFPB Capital CoffeeScript Framework, The CFPB Capital CoffeeScript Framework provides a CoffeScript interface for the Consumer Financial Protection Bureau (CFPB).,08.27.2018,https://www.programmableweb.com/framework/cfpb-capital-coffeescript-framework,CoffeeScript,Consumer Financial Protection Bureau,https://github.com/cfpb/capital-framework,,https://github.com/cfpb/capital-framework/blob/canary/LICENSE
20,RadiJS JavaScript Framework," The RadiJS JavaScript Framework is a high-speed, minimal application development interface. The framework draws its high-speed credential from the absence of doffing algorithms or virtual doms.",08.27.2018,https://www.programmableweb.com/framework/radijs-javascript-framework,JavaScript,,https://github.com/radi-js/radi,,https://github.com/radi-js/radi/blob/master/LICENSE
21,LabStack Echo Go Framework, The LabStack Echo Go Framework provides a high-performance golang platform. The framework supports the construction of scalable RESTful APIs.,08.27.2018,https://www.programmableweb.com/framework/labstack-echo-go-framework,Go,LabStack,https://github.com/labstack/echo,,https://github.com/labstack/echo/blob/master/LICENSE
22,Pure CSS Framework," The Pure CSS Framework features a modular CSS minimal interface for web applications. Its modules are equipped with a variety of styles, and form components alongside buttons, tables, responsive grids, and menus. The framework is compatible with a variety of browsers including IE 8+, iOS 6-8, and Android 4.x as well as latest versions of Chrome, Firefox, and Safari.",08.27.2018,https://www.programmableweb.com/framework/pure-css-framework,"CSS, JavaScript",Yahoo,https://purecss.io/,https://github.com/pure-css/pure/,https://github.com/pure-css/pure/blob/master/LICENSE
23,Apache Weex JavaScript Framework," The Apache Weex VueJS Framework is a platform for constructing cross-platform user interfaces for mobile applications. Built in a design that resembles React Native, the framework simplifies the implementation of CSS, HTML, and JavaScript concepts for developing Java-based Android and Swift-based iOS mobile apps. It provides a variety of built-in components, APIs, and other useful tools. Apache Weex is still a Beta project.",08.27.2018,https://www.programmableweb.com/framework/apache-weex-javascript-framework,"CSS, JavaScript",Apache Software Foundation,https://weex.apache.org/,,http://www.apache.org/licenses/LICENSE-2.0
24,Ulkit JavaScript Framework, The Ulkit JavaScript Framework provides lightweight and modular front-end interface for constructing high-speed web apps using JavaScript and CSS language platforms. Its design offers unified styles and flexible customization options as well as useful modifier classes.,08.27.2018,https://www.programmableweb.com/framework/ulkit-javascript-framework,JavaScript,,https://getuikit.com/docs/introduction,https://github.com/uikit/uikit,https://github.com/uikit/uikit/blob/develop/LICENSE.md
25,Magic xpa Web Application Framework," Magic Software's Magic xpa Web Application Framework allows you to easily create apps with AngularJS via Magic, HTML and CSS.
The xpa Web Application Framework is used with Magic Studio to define your business logic and easily generate Angular code via one-click using the Magic Converter. This creates ready-to-use AngularJS code and is easily customizable with screens that can be updated using HTML and CSS in any design tool.
The Framework has the ability to easily create large scale apps (often a sore point when working with Angular) and boosts the speed of app development.",08.27.2018,https://www.programmableweb.com/framework/magic-xpa-web-application-framework,JavaScript,Magic Software,https://www.magicsoftware.com/magic-xpa-web-application-framework,,https://www.magicsoftware.com/terms-use
26,Amio.io Chatbot Builder JavaScript Framework," This chatbot creating framework provided by Amio reacts to Webhooks, and can be customized with NLP capabilities and analytics. Akin to the REST and Webhooks APIs, this framework supports Facebook Messenger, Viber, and SMS.",08.01.2018,https://www.programmableweb.com/framework/amioio-chatbot-builder-javascript-framework,JavaScript,,https://github.com/amio-io/amio-chatbot-builder-js,,https://amio.io/terms-of-services
27,Just-API Node.js Framework," The Just-API Node.js Framework serves as an API tester. It supports REST, GraphQL, and HTTP-based interfaces. The test results are returned in JSON and HTML after making server calls in a YAML file.",08.01.2018,https://www.programmableweb.com/framework/just-api-nodejs-framework,Node.js,Independent Developer,https://github.com/kiranz/just-api,,
28,Jovo Node.js Framework, The Jovo Node.js Framework assists in building cross-platform Voice Apps for Amazon Alexa and Google Assistant.,08.01.2018,https://www.programmableweb.com/framework/jovo-nodejs-framework,Node.js,Jovo,https://github.com/jovotech/jovo-framework-nodejs,,
29,NativeScript," NativeScript, by Progress Software, allows you to build cross-platform, native iOS and Android apps without web views. You can use Angular, TypeScript or modern JavaScript to get truly native UI and performance while reusing the skills and the code from your web projects. Get 100% access to native APIs via JavaScript and reuse of packages from npm, CocoaPods and Gradle. Open source and backed by Progress. NativeScript is designed to give you significant code reuse between your web and mobile tiers and gives you direct access to every native platform API.
NativeScript is free and is open source.",08.01.2018,https://www.programmableweb.com/framework/nativescript,JavaScript,Progress Software,https://www.progress.com/nativescript,https://github.com/NativeScript/NativeScript,https://www.progress.com/legal/terms-of-use
30,SpriteJS Framework," The SpriteJS Framework allows creating sprites for animation and video games. Tested on WebKit, Firefox, Android phones, Opera and IE9.",08.01.2018,https://www.programmableweb.com/framework/spritejs-framework,JavaScript,,http://spritejs.readthedocs.io/en/latest/,https://github.com/batiste/sprite.js,
31,ZURB Foundation JS Framework," The ZURB Foundation JS Framework aims to design responsive websites, applications, and emails. It provides semantic, readable, flexible, and customizable features.",08.01.2018,https://www.programmableweb.com/framework/zurb-foundation-js-framework,JavaScript,ZURB,https://foundation.zurb.com/sites/docs/,,
32,Bootstrap JS Framework," The Bootstrap JS Framework helps to build responsive mobile sites, thinking in scalable CSS format. The Bootstrap team invites developers to write and maintain vanilla JavaScript plugins and improving tooling processes for frontend code.",08.01.2018,https://www.programmableweb.com/framework/bootstrap-js-framework,JavaScript,Bootstrap,https://getbootstrap.com/,,
33,Aegis Go Framework, The Aegis Go Framework is a serverless Golang deploy tool and framework for AWS Lambda. See original article at https://serifandsemaphore.io/build-a-serverless-api-in-seconds-with-go-c504398d86f6,08.01.2018,https://www.programmableweb.com/framework/aegis-go-framework,Go,Independent Developer,https://github.com/tmaiaroto/aegis,,
34,Graphcool," Graphcool is an open-source backend development framework to develop and deploy production-ready GraphQL microservices. With Graphcool you can design your data model and have a production ready GraphQL API online in minutes.
The framework integrates with cloud-native serverless functions and is compatible with existing libraries and tools like GraphQL.js and Apollo Server. The framework offers an opinionated backend setup, including GraphQL database mapping, subscriptions &amp; permission system. Graphcool comes with a CLI and a Docker-based runtime which can be deployed to any server or cloud.",08.01.2018,https://www.programmableweb.com/framework/graphcool,"JavaScript, Node.js","Graphcool, Prisma",https://www.graph.cool/,https://github.com/prismagraphql/graphcool-framework,https://github.com/prismagraphql/content/blob/master/static/legal/terms.md
35,Baliba PHP Framework," The Baliba PHP Framework uses arrays, aiming to simplify API documentation writing. Instructions available in English and Haitian Creole.",08.01.2018,https://www.programmableweb.com/framework/baliba-php-framework,PHP,,https://baliba.monkata.com/baliba/,,
36,Orienteer Java Framework, The Orienteer Java Framework is an open source business application platform with flexible and dynamically configurable APIs.,08.01.2018,https://www.programmableweb.com/framework/orienteer-java-framework,Java,,http://orienteer.org/,https://github.com/OrienteerBAP/Orienteer,
37,Fanout.io Python Framework," The Fanout.io Python Framework is a hybrid reverse proxy and message broker, pushing data to connected devices. Open technology runs Fanout in the cloud and servers. Developers will work with Python, C, and C++ languages by using Fanout.",08.01.2018,https://www.programmableweb.com/framework/fanoutio-python-framework,"C, C++, Python",Fanout,https://fanout.io/,https://github.com/fanout,https://fanout.io/legal/terms-of-service/
38,gSOAP C++ Framework," The gSOAP C++ Framework is a toolkit of portable C and C++ software to develop XML Web services with powerful type-safe XML data bindings. Easy-to-use code-generator tools allow to directly integrate XML data in C and C++. Serializes native application data in XML. Includes WSDL/XSD schema binding and auto-coding tools, stub/skeleton compiler. Offers robust Web server integration with Apache module and IIS extension. High-performance with XML pull parsing with schema validation. Supports XML SOAP and REST protocols, fast MIME/MTOM streaming, WS-Security, WS-Policy, WS-Discovery, WS-ReliableMessaging, WS-Addressing, XML-RPC and JSON.",08.01.2018,https://www.programmableweb.com/framework/gsoap-c-framework,"C, C++, Objective-C",Genivia,https://www.genivia.com/dev.html,https://sourceforge.net/projects/gsoap2,
39,Bugfender Android Framework, iOS Framework and Android Library to send logs to the Bugfender cloud storage with a single API call.,06.08.2018,https://www.programmableweb.com/framework/bugfender-android-framework,"Java, Objective-C, Swift",,https://bugfender.com,,
40,Jersey Java Framework, The Jersey Framework aims to simplify RESTful services and client developments. With Jersey developers can track JAX-RS APIs using Java and Java Virtual Machine.,05.07.2018,https://www.programmableweb.com/framework/jersey-java-framework,Java,Oracle,https://jersey.github.io/,,
41,WavesDevKit JavaScript Framework, The WavesDevKit JavaScript Framework supports interaction with the Waves Platform. Use the framework’s Javascript platform to create transactions and access crucial Waves functions.,05.07.2018,https://www.programmableweb.com/framework/wavesdevkit-javascript-framework,JavaScript,Waves Platform,https://github.com/wavesplatform/WavesDevKit,,https://github.com/wavesplatform/WavesDevKit/blob/master/LICENSE
42,ASP.Net Boilerplate Framework," The ASP.Net Boilerplate Framework assists to develop web application targeting localization services. Developers can build on Microsoft Studio, .NET Core, Entity, Angular, Bootstrap, Swagger, NPM, and jQuery. The framework includes an API in XML and JSON formats and sample code. To learn more, visit https://aspnetboilerplate.com/Pages/Documents/Localization",05.07.2018,https://www.programmableweb.com/framework/aspnet-boilerplate-framework,.Net,,https://aspnetboilerplate.com/,,
43,i18next JavaScript," The i18next Framework written in JavaScript provides internationalization, localization, and translation features. Plugins allow detecting languages, load translations, cache translations.",05.07.2018,https://www.programmableweb.com/framework/i18next-javascript,JavaScript,i18next,https://www.i18next.com/,,
44,A-Frame JavaScript Virtual Reality Framework, A-Frame Virtual Reality JavaScript Framework allows you to build virtual reality (VR) experiences. Mozilla is credited for introducing A-Frame as a simple but powerful solution for developing VR content. The framework’s documentation provides various examples of its usage.,05.07.2018,https://www.programmableweb.com/framework/frame-javascript-virtual-reality-framework,JavaScript,Mozilla,https://aframe.io/docs/0.7.0/introduction/,https://github.com/aframevr/aframe/tree/master/,https://github.com/aframevr/aframe/blob/master/LICENSE
45,Sibers PHP Framework," The Sibers PHP Framework helps to create API projects, allowing developers to design data models, interact with a REST API, and use JSON-LD, Hydra, HAL, YAML, JSON, XML and CSV as formats.",05.07.2018,https://www.programmableweb.com/framework/sibers-php-framework,PHP,,https://github.com/awersatos/sibers-api,,
46,Uber LumaGL JavaScript Framework, The Uber LumaGL JavaScript Framework is a browser-based data visualization solution. Its lumaGL-provided building blocks are equipped with the user-friendly webGL2 feature for enhancing data visualizations and computations on browsers.,05.07.2018,https://www.programmableweb.com/framework/uber-lumagl-javascript-framework,JavaScript,Uber,https://github.com/uber/luma.gl,,https://github.com/uber/luma.gl/blob/master/LICENSE
47,MUI Material Design CSS Framework," The MUI Material Design CSS Framework is a lightweight builder platform that prescribes to Google’s Material Design guidelines. Its fast, small, and user friendly design guarantees quality results. It features small footprint (mui.min.css – 66K, mui.min), responsive grid for implementing mobile-friendly sites, and customizable CSS library as well as JS and email libraries. The framework supports the onwards of IE10, iOS 6, and latest Chrome, Firefox, and Safari browsers.",05.07.2018,https://www.programmableweb.com/framework/mui-material-design-css-framework,CSS,MUI,https://www.muicss.com/,https://github.com/muicss/mui,https://github.com/muicss/mui/blob/master/LICENSE.txt
48,Grd Flexbox CSS Framework by Shogo Sensui, The Grd Flexbox CSS Framework by Shogo Sensui allows you to create CSS applications using Flexbox.,05.07.2018,https://www.programmableweb.com/framework/grd-flexbox-css-framework-shogo-sensui,CSS,Independent Developer,https://github.com/1000ch/grd,,https://github.com/1000ch/grd/blob/master/license
49,Mobi Mobile CSS Framework, The lightweight Mobi Mobile CSS Framework provides a flexible platform for building web applications.,05.07.2018,https://www.programmableweb.com/framework/mobi-mobile-css-framework,CSS,Mobi Mobile,https://github.com/mobi-css/mobi.css,,https://github.com/mobi-css/mobi.css/blob/master/LICENSE
50,Milligram CSS Framework, The Milligram CSS Framework supports the development of design applications. Its design simplifies style setups and expedites app development.,05.07.2018,https://www.programmableweb.com/framework/milligram-css-framework,CSS,Milligram,https://github.com/milligram/milligram,,https://github.com/milligram/milligram/blob/master/license
51,Spectre CSS Framework by Yan Zhu," The Spectre CSS Framework by Yan Zhu provides a simple platform for implementing CSS design concepts. The framework features modern base styles and responsive layout system as well as CSS components and utilities. Install the framework manually or deploy it using npm, Yarn, or Bower.",05.07.2018,https://www.programmableweb.com/framework/spectre-css-framework-yan-zhu,CSS,Independent Developer,https://picturepan2.github.io/spectre/,https://github.com/picturepan2/spectre,https://github.com/picturepan2/spectre/blob/master/LICENSE
52,Strapi Content Management NodeJS Framework, The Strapi NodeJS Content Management Framework simplifies the development of powerful CMS APIs. The framework features headless-CMS.,05.07.2018,https://www.programmableweb.com/framework/strapi-content-management-nodejs-framework,Node.js,Strapi,https://github.com/strapi/strapi,,https://github.com/strapi/strapi/blob/master/LICENSE.md
53,Intercellular Cell JavaScript Framework, The Intercellular Cell JavaScript Framework is self-constructing web application. It is powered by a self-driving DOM.,05.07.2018,https://www.programmableweb.com/framework/intercellular-cell-javascript-framework,JavaScript,CellJS,https://www.celljs.org/,https://github.com/intercellular,https://github.com/intercellular/cell/blob/develop/LICENSE
54,Nozzle React Static JavaScript Framework," The Nozzle React-Static JavaScript Framework allows you to construct applications using the React platform. The framework supports the development of static-progressive websites and react applications. Use the framework to interact with different platforms of the React ecosystem including CSS-in-JS libraries, GraphQL, and Redux.",05.07.2018,https://www.programmableweb.com/framework/nozzle-react-static-javascript-framework,JavaScript,Nozzle,https://github.com/nozzle/react-static,,https://github.com/nozzle/react-static/blob/master/LICENSE
55,Yoctol Bottender JavaScript Framework," Use the Yoctol Bottender JavaScript Framework to develop cross-platform bots for Slack, Messenger, LINE, and other platforms. The framework is written in ES6 and ES7 syntax and provides support for async await function.",05.07.2018,https://www.programmableweb.com/framework/yoctol-bottender-javascript-framework,JavaScript,Yoctol Info,https://github.com/Yoctol/bottender,,https://github.com/Yoctol/bottender/blob/master/LICENSE
56,Recon-ng Python Framework," The Recon-ng Python Framework provides independent modules, database interaction, built in convenience functions, interactive help, and command completion. Recon-ng offers an environment in which open source web-based reconnaissance can be conducted quickly and thoroughly.",05.01.2018,https://www.programmableweb.com/framework/recon-ng-python-framework,Python,Independent Developer,https://bitbucket.org/LaNMaSteR53/recon-ng,,
57,Socket.io," Socket.io is a NodeJS realtime framework server. Socket.IO is composed of two parts: a server that integrates with or mounts onto the NodeJS HTTP server and a client library that loads on the browser side. It allows you to
send and receive any events, with any data. It uses objects that can be encoded as JSON, as well as binary data.",01.18.2018,https://www.programmableweb.com/framework/socket.io,Node.js,Socket.io,https://socket.io/get-started/,https://github.com/socketio/socket.io,https://github.com/socketio/socket.io/blob/master/LICENSE
58,Sunrise Shop Framework Java Sample Code by Commercetools," The Sunrise Shop Framework Java Sample Code by Commercetools provides a live demo to demonstrate eCommerce implementation. By viewing the course with right click, developers will know how the framework was integrated into a clothing store.",01.18.2018,https://www.programmableweb.com/framework/sunrise-shop-framework-java-sample-code-commercetools,Java,Commercetools,https://demo.commercetools.com/en/home,,
59,Betfair Cougar Java Framework by Betfair, The Betfair Cougar Java Framework by Betfair simplifies the development of network exposed service interfaces on Java platforms. The framework’s current version is 3.2.1.,01.18.2018,https://www.programmableweb.com/framework/betfair-cougar-java-framework-betfair,Java,Betfair,https://github.com/betfair/cougar,,https://github.com/betfair/cougar/blob/master/LICENSE
60,Squarespace CSS Dossier Framework by Squarespace," The Squarespace CSS Dossier Framework by Squarespace is a template for grid-style blogs. The framework’s functional attributes include grid-style blog list page offering a variety of layout options and item header for fullscreen blog, among others. A Node Package Manager allows developers to initiate dependency management and run build scripts. The framework is a proprietary platform and developers are required to comply with the Squarespace TOS when using it.",01.18.2018,https://www.programmableweb.com/framework/squarespace-css-dossier-framework-squarespace,CSS,Squarespace,https://github.com/Squarespace/dossier-framework,,http://developers.squarespace.com/developer-terms-of-use
61,Herb Daily Marley Ruby Framework by Herb Daily," Marley enables RESTful web services and applications. Marley consists of a simple Rack application, a default controller for ORM classes, a Sequel-based plugin system, reusable resource sets, and JSON data support. The current version is 0.8.3.",01.18.2018,https://www.programmableweb.com/framework/herb-daily-marley-ruby-framework-herb-daily,Ruby,,https://github.com/herbdaily/marley,,
62,BloodMagic Objective-C Framework by Railsware, The BloodMagic Objective-C Framework by Railsware provides a platform for creating custom property attributes en building iOS applications.,01.18.2018,https://www.programmableweb.com/framework/bloodmagic-objective-c-framework-railsware,Objective-C,,https://github.com/railsware/BloodMagic,,https://github.com/railsware/BloodMagic/blob/master/LICENSE
63,Javalin Java Framework, The Javalin Java Framework serves the lightweight REST API. A getting started guide is available at https://javalin.io/documentation#getting-started,01.18.2018,https://www.programmableweb.com/framework/javalin-java-framework,Java,Javalin,https://javalin.io/,,
64,Javalin Kotlin Framework, The Javalin Kotlin Framework serves the lightweight REST API. An example is available at https://javalin.io/tutorials/simple-kotlin-example,01.18.2018,https://www.programmableweb.com/framework/javalin-kotlin-framework,Kotlin,Javalin,https://javalin.io/,,
65,Fastify NodeJS Framework, Fastify is a fast and low overhead web framework for NodeJS. The Fastify NodeJS Framework provides RESTful tools for interacting with the Fastify platform. It optimizes developer experience with minimum overhead and powerful plugin architecture.,01.18.2018,https://www.programmableweb.com/framework/fastify-nodejs-framework,Node.js,Fastify,https://www.fastify.io/,https://github.com/fastify/fastify,https://github.com/fastify/fastify/blob/master/LICENSE
66,Zeit JavaScript NextJS Framework, The Zeit JavaScript NextJS Framework is designed for server-rendered React apps. Setup requires npm installation.,01.18.2018,https://www.programmableweb.com/framework/zeit-javascript-nextjs-framework,JavaScript,ZEIT,https://github.com/zeit/next.js/#custom-server-and-routing,,https://github.com/zeit/next.js/blob/canary/license.md
67,Bulma CSS Framework by Jeremy Thomas," The Bulma CSS Framework by Jeremy Thomas is a CSS application development platform that is based on Flexbox. The framework’s documentation provides the installation paths for NPM, Yarn, or Bower. It supports the latest versions of Chrome, Firefox, Edge, Opera, and Safari browsers.",01.18.2018,https://www.programmableweb.com/framework/bulma-css-framework-jeremy-thomas,CSS,Independent Developer,https://bulma.io/,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma/blob/master/LICENSE
68,Tailwind CSS Framework, The Tailwind CSS Framework is a utility-first platform for rapid UI development.,01.18.2018,https://www.programmableweb.com/framework/tailwind-css-framework,CSS,Tailwind CSS,https://tailwindcss.com/,https://github.com/tailwindcss,
69,ZfrPusher Zend PHP Framework by Zfr," The ZfrPusher PHP Zend Framework by Zfr is a module that is anchored on the ZfrPusher. The framework communicates with the Pusher HTTP API. Its deployment requires PHP 5.3, Zend Framework 2, and the ZfrPusher platform.",01.18.2018,https://www.programmableweb.com/framework/zfrpusher-zend-php-framework-zfr,PHP,,https://github.com/zf-fr/zfr-pusher-module#installation,https://github.com/zf-fr/zfr-pusher-module#installation,
70,Accenture Alexia NodeJS Framework by Accenture, Alexia enables the creation of Amazon Echo skills using NodeJS. This framework handles Amazon Echo requests which are translated into intents for application processing. Alexia can control the flow of intents by using transitions. Localization is provided by i18next. The current version is 2.4.0.,01.18.2018,https://www.programmableweb.com/framework/accenture-alexia-nodejs-framework-accenture,JavaScript,Accenture,https://github.com/Accenture/alexia,https://github.com/Accenture/alexia,
71,ReSTbasis," ReSTbasis is a REST web development framework based on W3C standards, and MVC architectural patterns. ReSTbasis provides the blueprints that can produce high performing single page applications with integrated security. Software requirements include Java, NodeJS, npm or yarn, and Grunt. ReSTbasis offers a 90 day free trial version.",01.18.2018,https://www.programmableweb.com/framework/restbasis,"AJAX, Backbone.js, JavaScript, jQuery, Node.js",,https://restbasis.com,https://restbasis.com/docs/install,
72,Ramaze Ruby Framework by Ramaze, Ramaze offers a modular web application framework that features an MVC pattern out of the box. Ruby 1.8+ is required.,01.18.2018,https://www.programmableweb.com/framework/ramaze-ruby-framework-ramaze,Ruby,,http://ramaze.net/,https://github.com/ramaze/ramaze,
73,Volt Ruby Framework by Volt," Volt offers a framework for building data rich web applications where Ruby code runs on both the server and the client. Volt features automated DOM updating, and URL page state storage. The current version is 0.9.7.",01.18.2018,https://www.programmableweb.com/framework/volt-ruby-framework-volt,Ruby,,http://voltframework.com/,https://github.com/voltrb/volt/,
74,Pakyow Ruby Framework by Pakyow," Pakyow offers a progressive platform for building web applications with several features such as auto-updating views, and rapid prototyping. The current version is 0.11.3.",01.18.2018,https://www.programmableweb.com/framework/pakyow-ruby-framework-pakyow,Ruby,,https://pakyow.org/,https://github.com/pakyow/pakyow,
